t,x_cin,v_cin,x_pot,v_pot,E_cin_total,E_pot_total
0.0363,2.7096,-8,2.7096,-8,32,32
0.0364,2.7088,-8,2.7088,-8,32,32
0.0365,2.708,-8,2.708,-8,32,32
0.0366,2.7072,-8,2.7072,-8,32,32
0.0367,2.7064,-8,2.7064,-8,32,32
0.0368,2.7056,-8,2.7056,-8,32,32
0.0369,2.7048,-8,2.7048,-8,32,32
0.037,2.704,-8,2.704,-8,32,32
0.0371,2.7032,-8,2.7032,-8,32,32
0.0372,2.7024,-8,2.7024,-8,32,32
0.0373,2.7016,-8,2.7016,-8,32,32
0.0374,2.7008,-8,2.7008,-8,32,32
0.0375,2.7,-8,2.7,-8,32,32
0.0376,2.6992,-8,2.6992,-8,32,32
0.0377,2.6984,-8,2.6984,-8,32,32
0.0378,2.6976,-8,2.6976,-8,32,32
0.0379,2.6968,-8,2.6968,-8,32,32
0.038,2.696,-8,2.696,-8,32,32
0.0381,2.6952,-8,2.6952,-8,32,32
0.0382,2.6944,-8,2.6944,-8,32,32
0.0383,2.6936,-8,2.6936,-8,32,32
0.0384,2.6928,-8,2.6928,-8,32,32
0.0385,2.692,-8,2.692,-8,32,32
0.0386,2.6912,-8,2.6912,-8,32,32
0.0387,2.6904,-8,2.6904,-8,32,32
0.0388,2.6896,-8,2.6896,-8,32,32
0.0389,2.6888,-8,2.6888,-8,32,32
0.039,2.688,-8,2.688,-8,32,32
0.0391,2.6872,-8,2.6872,-8,32,32
0.0392,2.6864,-8,2.6864,-8,32,32
0.0393,2.6856,-8,2.6856,-8,32,32
0.0394,2.6848,-8,2.6848,-8,32,32
0.0395,2.684,-8,2.684,-8,32,32
0.0396,2.6832,-8,2.6832,-8,32,32
0.0397,2.6824,-8,2.6824,-8,32,32
0.0398,2.6816,-8,2.6816,-8,32,32
0.0399,2.6808,-8,2.6808,-8,32,32
0.04,2.68,-8,2.68,-8,32,32
0.0401,2.6792,-8,2.6792,-8,32,32
0.0402,2.6784,-8,2.6784,-8,32,32
0.0403,2.6776,-8,2.6776,-8,32,32
0.0404,2.6768,-8,2.6768,-8,32,32
0.0405,2.676,-8,2.676,-8,32,32
0.0406,2.6752,-8,2.6752,-8,32,32
0.0407,2.6744,-8,2.6744,-8,32,32
0.0408,2.6736,-8,2.6736,-8,32,32
0.0409,2.6728,-8,2.6728,-8,32,32
0.041,2.672,-8,2.672,-8,32,32
0.0411,2.6712,-8,2.6712,-8,32,32
0.0412,2.6704,-8,2.6704,-8,32,32
0.0413,2.6696,-8,2.6696,-8,32,32
0.0414,2.6688,-8,2.6688,-8,32,32
0.0415,2.668,-8,2.668,-8,32,32
0.0416,2.6672,-8,2.6672,-8,32,32
0.0417,2.6664,-8,2.6664,-8,32,32
0.0418,2.6656,-8,2.6656,-8,32,32
0.0419,2.6648,-8,2.6648,-8,32,32
0.042,2.664,-8,2.664,-8,32,32
0.0421,2.6632,-8,2.6632,-8,32,32
0.0422,2.6624,-8,2.6624,-8,32,32
0.0423,2.6616,-8,2.6616,-8,32,32
0.0424,2.6608,-8,2.6608,-8,32,32
0.0425,2.66,-8,2.66,-8,32,32
0.0426,2.6592,-8,2.6592,-8,32,32
0.0427,2.6584,-8,2.6584,-8,32,32
0.0428,2.6576,-8,2.6576,-8,32,32
0.0429,2.6568,-8,2.6568,-8,32,32
0.043,2.656,-8,2.656,-8,32,32
0.0431,2.6552,-8,2.6552,-8,32,32
0.0432,2.6544,-8,2.6544,-8,32,32
0.0433,2.6536,-8,2.6536,-8,32,32
0.0434,2.6528,-8,2.6528,-8,32,32
0.0435,2.652,-8,2.652,-8,32,32
0.0436,2.6512,-8,2.6512,-8,32,32
0.0437,2.6504,-8,2.6504,-8,32,32
0.0438,2.6496,-8,2.6496,-8,32,32
0.0439,2.6488,-8,2.6488,-8,32,32
0.044,2.648,-8,2.648,-8,32,32
0.0441,2.6472,-8,2.6472,-8,32,32
0.0442,2.6464,-8,2.6464,-8,32,32
0.0443,2.6456,-8,2.6456,-8,32,32
0.0444,2.6448,-8,2.6448,-8,32,32
0.0445,2.644,-8,2.644,-8,32,32
0.0446,2.6432,-8,2.6432,-8,32,32
0.0447,2.6424,-8,2.6424,-8,32,32
0.0448,2.6416,-8,2.6416,-8,32,32
0.0449,2.6408,-8,2.6408,-8,32,32
0.045,2.64,-8,2.64,-8,32,32
0.0451,2.6392,-8,2.6392,-8,32,32
0.0452,2.6384,-8,2.6384,-8,32,32
0.0453,2.6376,-8,2.6376,-8,32,32
0.0454,2.6368,-8,2.6368,-8,32,32
0.0455,2.636,-8,2.636,-8,32,32
